time ms, voltage v, encoder
10, 0.00, 0
20, 0.00, 0
30, 0.00, 0
40, 0.00, 0
50, 0.00, 0
60, 0.00, 0
70, 0.00, 0
80, 0.00, 0
90, 0.00, 0
100, 0.00, 0
110, 0.00, 0
120, 0.00, 0
130, 0.00, 0
140, 0.00, 0
150, 0.00, 0
160, 0.00, 0
171, 0.00, 0
181, 0.00, 0
191, 0.00, 0
201, 0.00, 0
211, 0.00, 0
221, 0.00, 0
231, 0.00, 0
241, 0.00, 0
251, 0.00, 0
261, 0.00, 0
271, 0.00, 0
281, 0.00, 0
291, 0.00, 0
301, 0.00, 0
311, 0.00, 0
321, 0.00, 0
331, 0.00, 0
342, 0.00, 0
352, 0.00, 0
362, 0.00, 0
372, 0.00, 0
382, 0.00, 0
392, 0.00, 0
402, 0.00, 0
412, 0.00, 0
422, 0.00, 0
432, 0.00, 0
442, 0.00, 0
452, 0.00, 0
462, 0.00, 0
472, 0.00, 0
482, 0.00, 0
492, 0.00, 0
502, 0.00, 0
512, 0.00, 0
522, 0.00, 0
532, 0.00, 0
542, 0.00, 0
552, 0.00, 0
562, 0.00, 0
572, 0.00, 0
582, 0.00, 0
592, 0.00, 0
602, 0.00, 0
612, 0.00, 0
622, 0.00, 0
632, 0.00, 0
642, 0.00, 0
652, 0.00, 0
662, 0.00, 0
672, 0.00, 0
683, 0.00, 0
693, 0.00, 0
703, 0.00, 0
713, 0.00, 0
723, 0.00, 0
733, 0.00, 0
743, 0.00, 0
753, 0.00, 0
763, 0.00, 0
773, 0.00, 0
783, 0.00, 0
793, 0.00, 0
803, 0.00, 0
813, 0.00, 0
823, 0.00, 0
833, 0.00, 0
843, 0.00, 0
854, 0.00, 0
864, 0.00, 0
874, 0.00, 0
884, 0.00, 0
894, 0.00, 0
904, 0.00, 0
914, 0.00, 0
924, 0.00, 0
934, 0.00, 0
944, 0.00, 0
954, 0.00, 0
964, 0.00, 0
974, 0.00, 0
984, 0.00, 0
994, 0.00, 0
1004, 5.00, 0
1014, 5.00, 2
1024, 5.00, 6
1034, 5.00, 14
1044, 5.00, 22
1054, 5.00, 32
1064, 5.00, 41
1074, 5.00, 50
1084, 5.00, 60
1094, 5.00, 70
1104, 5.00, 80
1114, 5.00, 90
1124, 5.00, 100
1134, 5.00, 110
1144, 5.00, 121
1154, 5.00, 130
1164, 5.00, 140
1174, 5.00, 151
1184, 5.00, 162
1195, 5.00, 172
1205, 5.00, 182
1215, 5.00, 192
1225, 5.00, 202
1235, 5.00, 213
1245, 5.00, 222
1255, 5.00, 233
1265, 5.00, 244
1275, 5.00, 254
1285, 5.00, 264
1295, 5.00, 274
1305, 5.00, 284
1315, 5.00, 294
1325, 5.00, 304
1335, 5.00, 314
1345, 5.00, 326
1355, 5.00, 336
1366, 5.00, 346
1376, 5.00, 356
1386, 5.00, 368
1396, 5.00, 378
1406, 5.00, 388
1416, 5.00, 398
1426, 5.00, 408
1436, 5.00, 418
1446, 5.00, 430
1456, 5.00, 438
1466, 5.00, 450
1476, 5.00, 460
1486, 5.00, 470
1496, 5.00, 480
1506, 5.00, 490
1516, 5.00, 500
1526, 5.00, 512
1536, 5.00, 520
1546, 5.00, 532
1556, 5.00, 542
1566, 5.00, 552
1576, 5.00, 563
1586, 5.00, 572
1596, 5.00, 583
1606, 5.00, 594
1616, 5.00, 604
1626, 5.00, 614
1636, 5.00, 624
1646, 5.00, 634
1656, 5.00, 645
1666, 5.00, 654
1676, 5.00, 666
1686, 5.00, 676
1696, 5.00, 686
1707, 5.00, 697
1717, 5.00, 708
1727, 5.00, 718
1737, 5.00, 728
1747, 5.00, 740
1757, 5.00, 749
1767, 5.00, 760
1777, 5.00, 770
1787, 5.00, 781
1797, 5.00, 790
1807, 5.00, 801
1817, 5.00, 812
1827, 5.00, 822
1837, 5.00, 832
1847, 5.00, 842
1857, 5.00, 854
1867, 5.00, 864
1878, 5.00, 874
1888, 5.00, 885
1898, 5.00, 896
1908, 5.00, 906
1918, 5.00, 916
1928, 5.00, 926
1938, 5.00, 937
1948, 5.00, 948
1958, 5.00, 958
1968, 5.00, 968
1978, 5.00, 978
1988, 5.00, 989
1998, 5.00, 1000
2008, 0.00, 1009
2018, 0.00, 1018
2028, 0.00, 1022
2038, 0.00, 1026
2048, 0.00, 1027
2058, 0.00, 1028
2068, 0.00, 1028
2078, 0.00, 1028
2088, 0.00, 1026
2098, 0.00, 1026
2108, 0.00, 1026
2118, 0.00, 1026
2128, 0.00, 1026
2138, 0.00, 1026
2148, 0.00, 1026
2158, 0.00, 1026
2168, 0.00, 1026
2178, 0.00, 1026
2188, 0.00, 1026
2198, 0.00, 1026
2208, 0.00, 1026
2219, 0.00, 1026
2229, 0.00, 1026
2239, 0.00, 1026
2249, 0.00, 1026
2259, 0.00, 1026
2269, 0.00, 1026
2279, 0.00, 1026
2289, 0.00, 1026
2299, 0.00, 1026
2309, 0.00, 1026
2319, 0.00, 1026
2329, 0.00, 1026
2339, 0.00, 1026
2349, 0.00, 1026
2359, 0.00, 1026
2369, 0.00, 1026
2379, 0.00, 1026
2390, 0.00, 1026
2400, 0.00, 1026
2410, 0.00, 1026
2420, 0.00, 1026
2430, 0.00, 1026
2440, 0.00, 1026
2450, 0.00, 1026
2460, 0.00, 1026
2470, 0.00, 1026
2480, 0.00, 1026
2490, 0.00, 1026
2500, 0.00, 1026
2510, 0.00, 1026
2520, 0.00, 1026
2530, 0.00, 1026
2540, 0.00, 1026
2550, 0.00, 1026
2560, 0.00, 1026
2570, 0.00, 1026
2580, 0.00, 1026
2590, 0.00, 1026
2600, 0.00, 1026
2610, 0.00, 1026
2620, 0.00, 1026
2630, 0.00, 1026
2640, 0.00, 1026
2650, 0.00, 1026
2660, 0.00, 1026
2670, 0.00, 1026
2680, 0.00, 1026
2690, 0.00, 1026
2700, 0.00, 1026
2710, 0.00, 1026
2720, 0.00, 1026
2731, 0.00, 1026
2741, 0.00, 1026
2751, 0.00, 1026
2761, 0.00, 1026
2771, 0.00, 1026
2781, 0.00, 1026
2791, 0.00, 1026
2801, 0.00, 1026
2811, 0.00, 1026
2821, 0.00, 1026
2831, 0.00, 1026
2841, 0.00, 1026
2851, 0.00, 1026
2861, 0.00, 1026
2871, 0.00, 1026
2881, 0.00, 1026
2891, 0.00, 1026
2902, 0.00, 1026
2912, 0.00, 1026
2922, 0.00, 1026
2932, 0.00, 1026
2942, 0.00, 1026
2952, 0.00, 1026
2962, 0.00, 1026
2972, 0.00, 1026
2982, 0.00, 1026
2992, 0.00, 1026
3002, 0.00, 1026
3012, 0.00, 1026
3022, 0.00, 1026
3032, 0.00, 1026
3042, 0.00, 1026
3052, 0.00, 1026
3062, 0.00, 1026
3072, 0.00, 1026
3082, 0.00, 1026
3092, 0.00, 1026
3102, 0.00, 1026
3112, 0.00, 1026
3122, 0.00, 1026
3132, 0.00, 1026
3142, 0.00, 1026
3152, 0.00, 1026
3162, 0.00, 1026
3172, 0.00, 1026
3182, 0.00, 1026
3192, 0.00, 1026
3202, 0.00, 1026
3212, 0.00, 1026
3222, 0.00, 1026
3232, 0.00, 1026
3243, 0.00, 1026
3253, 0.00, 1026
3263, 0.00, 1026
3273, 0.00, 1026
3283, 0.00, 1026
3293, 0.00, 1026
3303, 0.00, 1026
3313, 0.00, 1026
3323, 0.00, 1026
3333, 0.00, 1026
3343, 0.00, 1026
3353, 0.00, 1026
3363, 0.00, 1026
3373, 0.00, 1026
3383, 0.00, 1026
3393, 0.00, 1026
3403, 0.00, 1026
3414, 0.00, 1026
3424, 0.00, 1026
3434, 0.00, 1026
3444, 0.00, 1026
3454, 0.00, 1026
3464, 0.00, 1026
3474, 0.00, 1026
3484, 0.00, 1026
3494, 0.00, 1026
3504, 0.00, 1026
3514, 0.00, 1026
3524, 0.00, 1026
3534, 0.00, 1026
3544, 0.00, 1026
3554, 0.00, 1026
3564, 0.00, 1026
3574, 0.00, 1026
3584, 0.00, 1026
3594, 0.00, 1026
3604, 0.00, 1026
3614, 0.00, 1026
3624, 0.00, 1026
3634, 0.00, 1026
3644, 0.00, 1026
3654, 0.00, 1026
3664, 0.00, 1026
3674, 0.00, 1026
3684, 0.00, 1026
3694, 0.00, 1026
3704, 0.00, 1026
3714, 0.00, 1026
3724, 0.00, 1026
3734, 0.00, 1026
3744, 0.00, 1026
3755, 0.00, 1026
3765, 0.00, 1026
3775, 0.00, 1026
3785, 0.00, 1026
3795, 0.00, 1026
3805, 0.00, 1026
3815, 0.00, 1026
3825, 0.00, 1026
3835, 0.00, 1026
3845, 0.00, 1026
3855, 0.00, 1026
3865, 0.00, 1026
3875, 0.00, 1026
3885, 0.00, 1026
3895, 0.00, 1026
3905, 0.00, 1026
3915, 0.00, 1026
3926, 0.00, 1026
3936, 0.00, 1026
3946, 0.00, 1026
3956, 0.00, 1026
3966, 0.00, 1026
3976, 0.00, 1026
3986, 0.00, 1026
3996, 0.00, 1026
4006, 0.00, 1026
4016, 0.00, 1026
4026, 0.00, 1026
4036, 0.00, 1026
4046, 0.00, 1026
4056, 0.00, 1026
4066, 0.00, 1026
4076, 0.00, 1026
4086, 0.00, 1026
4096, 0.00, 1026
4106, 0.00, 1026
4116, 0.00, 1026
4126, 0.00, 1026
4136, 0.00, 1026
4146, 0.00, 1026
4156, 0.00, 1026
4166, 0.00, 1026
4176, 0.00, 1026
4186, 0.00, 1026
4196, 0.00, 1026
4206, 0.00, 1026
4216, 0.00, 1026
4226, 0.00, 1026
4236, 0.00, 1026
4246, 0.00, 1026
4256, 0.00, 1026
4267, 0.00, 1026
4277, 0.00, 1026
4287, 0.00, 1026
4297, 0.00, 1026
4307, 0.00, 1026
4317, 0.00, 1026
4327, 0.00, 1026
4337, 0.00, 1026
4347, 0.00, 1026
4357, 0.00, 1026
4367, 0.00, 1026
4377, 0.00, 1026
4387, 0.00, 1026
4397, 0.00, 1026
4407, 0.00, 1026
4417, 0.00, 1026
4427, 0.00, 1026
4438, 0.00, 1026
4448, 0.00, 1026
4458, 0.00, 1026
4468, 0.00, 1026
4478, 0.00, 1026
4488, 0.00, 1026
4498, 0.00, 1026
4508, 0.00, 1026
4518, 0.00, 1026
4528, 0.00, 1026
4538, 0.00, 1026
4548, 0.00, 1026
4558, 0.00, 1026
4568, 0.00, 1026
4578, 0.00, 1026
4588, 0.00, 1026
4598, 0.00, 1026
4608, 0.00, 1026
4618, 0.00, 1026
4628, 0.00, 1026
4638, 0.00, 1026
4648, 0.00, 1026
4658, 0.00, 1026
4668, 0.00, 1026
4678, 0.00, 1026
4688, 0.00, 1026
4698, 0.00, 1026
4708, 0.00, 1026
4718, 0.00, 1026
4728, 0.00, 1026
4738, 0.00, 1026
4748, 0.00, 1026
4758, 0.00, 1026
4768, 0.00, 1026
4779, 0.00, 1026
4789, 0.00, 1026
4799, 0.00, 1026
4809, 0.00, 1026
4819, 0.00, 1026
4829, 0.00, 1026
4839, 0.00, 1026
4849, 0.00, 1026
4859, 0.00, 1026
4869, 0.00, 1026
4879, 0.00, 1026
4889, 0.00, 1026
4899, 0.00, 1026
4909, 0.00, 1026
4919, 0.00, 1026
4929, 0.00, 1026
4939, 0.00, 1026
4950, 0.00, 1026
4960, 0.00, 1026
4970, 0.00, 1026
4980, 0.00, 1026
4990, 0.00, 1026
5000, -5.00, 1026
5010, -5.00, 1024
5020, -5.00, 1020
5030, -5.00, 1012
5040, -5.00, 1006
5050, -5.00, 996
5060, -5.00, 986
5070, -5.00, 977
5080, -5.00, 968
5090, -5.00, 958
5100, -5.00, 948
5110, -5.00, 938
5120, -5.00, 928
5130, -5.00, 918
5140, -5.00, 908
5150, -5.00, 898
5160, -5.00, 886
5170, -5.00, 878
5180, -5.00, 867
5190, -5.00, 856
5200, -5.00, 846
5210, -5.00, 837
5220, -5.00, 826
5230, -5.00, 816
5240, -5.00, 806
5250, -5.00, 796
5260, -5.00, 786
5270, -5.00, 776
5280, -5.00, 765
5291, -5.00, 754
5301, -5.00, 744
5311, -5.00, 734
5321, -5.00, 724
5331, -5.00, 713
5341, -5.00, 704
5351, -5.00, 694
5361, -5.00, 683
5371, -5.00, 672
5381, -5.00, 664
5391, -5.00, 652
5401, -5.00, 642
5411, -5.00, 632
5421, -5.00, 622
5431, -5.00, 612
5441, -5.00, 602
5451, -5.00, 592
5462, -5.00, 581
5472, -5.00, 570
5482, -5.00, 560
5492, -5.00, 550
5502, -5.00, 540
5512, -5.00, 530
5522, -5.00, 520
5532, -5.00, 510
5542, -5.00, 499
5552, -5.00, 490
5562, -5.00, 479
5572, -5.00, 468
5582, -5.00, 458
5592, -5.00, 448
5602, -5.00, 438
5612, -5.00, 428
5622, -5.00, 418
5632, -5.00, 408
5642, -5.00, 398
5652, -5.00, 387
5662, -5.00, 376
5672, -5.00, 366
5682, -5.00, 356
5692, -5.00, 346
5702, -5.00, 336
5712, -5.00, 326
5722, -5.00, 316
5732, -5.00, 306
5742, -5.00, 296
5752, -5.00, 285
5762, -5.00, 276
5772, -5.00, 266
5782, -5.00, 255
5792, -5.00, 244
5803, -5.00, 234
5813, -5.00, 224
5823, -5.00, 214
5833, -5.00, 204
5843, -5.00, 193
5853, -5.00, 184
5863, -5.00, 174
5873, -5.00, 163
5883, -5.00, 152
5893, -5.00, 144
5903, -5.00, 134
5913, -5.00, 123
5923, -5.00, 112
5933, -5.00, 104
5943, -5.00, 93
5953, -5.00, 83
5963, -5.00, 72
5974, -5.00, 62
5984, -5.00, 52
5994, -5.00, 42
6004, 0.00, 32
6014, 0.00, 24
6024, 0.00, 19
6034, 0.00, 16
6044, 0.00, 14
6054, 0.00, 14
6064, 0.00, 14
6074, 0.00, 14
6084, 0.00, 14
6094, 0.00, 14
6104, 0.00, 14
6114, 0.00, 14
6124, 0.00, 14
6134, 0.00, 14
6144, 0.00, 14
6154, 0.00, 14
6164, 0.00, 14
6174, 0.00, 14
6184, 0.00, 14
6194, 0.00, 14
6204, 0.00, 14
6214, 0.00, 14
6224, 0.00, 14
6234, 0.00, 14
6244, 0.00, 14
6254, 0.00, 14
6264, 0.00, 14
6274, 0.00, 14
6284, 0.00, 14
6294, 0.00, 14
6304, 0.00, 14
6315, 0.00, 14
6325, 0.00, 14
6335, 0.00, 14
6345, 0.00, 14
6355, 0.00, 14
6365, 0.00, 14
6375, 0.00, 14
6385, 0.00, 14
6395, 0.00, 14
6405, 0.00, 14
6415, 0.00, 14
6425, 0.00, 14
6435, 0.00, 14
6445, 0.00, 14
6455, 0.00, 14
6465, 0.00, 14
6475, 0.00, 14
6486, 0.00, 14
6496, 0.00, 14
6506, 0.00, 14
6516, 0.00, 14
6526, 0.00, 14
6536, 0.00, 14
6546, 0.00, 14
6556, 0.00, 14
6566, 0.00, 14
6576, 0.00, 14
6586, 0.00, 14
6596, 0.00, 14
6606, 0.00, 14
6616, 0.00, 14
6626, 0.00, 14
6636, 0.00, 14
6646, 0.00, 14
6656, 0.00, 14
6666, 0.00, 14
6676, 0.00, 14
6686, 0.00, 14
6696, 0.00, 14
6706, 0.00, 14
6716, 0.00, 14
6726, 0.00, 14
6736, 0.00, 14
6746, 0.00, 14
6756, 0.00, 14
6766, 0.00, 14
6776, 0.00, 14
6786, 0.00, 14
6796, 0.00, 14
6806, 0.00, 14
6816, 0.00, 14
6827, 0.00, 14
6837, 0.00, 14
6847, 0.00, 14
6857, 0.00, 14
6867, 0.00, 14
6877, 0.00, 14
6887, 0.00, 14
6897, 0.00, 14
6907, 0.00, 14
6917, 0.00, 14
6927, 0.00, 14
6937, 0.00, 14
6947, 0.00, 14
6957, 0.00, 14
6967, 0.00, 14
6977, 0.00, 14
6987, 0.00, 14
6998, 0.00, 14
7008, 0.00, 14
7018, 0.00, 14
7028, 0.00, 14
7038, 0.00, 14
7048, 0.00, 14
7058, 0.00, 14
7068, 0.00, 14
7078, 0.00, 14
7088, 0.00, 14
7098, 0.00, 14
7108, 0.00, 14
7118, 0.00, 14
7128, 0.00, 14
7138, 0.00, 14
7148, 0.00, 14
7158, 0.00, 14
7168, 0.00, 14
7178, 0.00, 14
7188, 0.00, 14
7198, 0.00, 14
7208, 0.00, 14
7218, 0.00, 14
7228, 0.00, 14
7238, 0.00, 14
7248, 0.00, 14
7258, 0.00, 14
7268, 0.00, 14
7278, 0.00, 14
7288, 0.00, 14
7298, 0.00, 14
7308, 0.00, 14
7318, 0.00, 14
7328, 0.00, 14
7339, 0.00, 14
7349, 0.00, 14
7359, 0.00, 14
7369, 0.00, 14
7379, 0.00, 14
7389, 0.00, 14
7399, 0.00, 14
7409, 0.00, 14
7419, 0.00, 14
7429, 0.00, 14
7439, 0.00, 14
7449, 0.00, 14
7459, 0.00, 14
7469, 0.00, 14
7479, 0.00, 14
7489, 0.00, 14
7499, 0.00, 14
7510, 0.00, 14
7520, 0.00, 14
7530, 0.00, 14
7540, 0.00, 14
7550, 0.00, 14
7560, 0.00, 14
7570, 0.00, 14
7580, 0.00, 14
7590, 0.00, 14
7600, 0.00, 14
7610, 0.00, 14
7620, 0.00, 14
7630, 0.00, 14
7640, 0.00, 14
7650, 0.00, 14
7660, 0.00, 14
7670, 0.00, 14
7680, 0.00, 14
7690, 0.00, 14
7700, 0.00, 14
7710, 0.00, 14
7720, 0.00, 14
7730, 0.00, 14
7740, 0.00, 14
7750, 0.00, 14
7760, 0.00, 14
7770, 0.00, 14
7780, 0.00, 14
7790, 0.00, 14
7800, 0.00, 14
7810, 0.00, 14
7820, 0.00, 14
7830, 0.00, 14
7840, 0.00, 14
7851, 0.00, 14
7861, 0.00, 14
7871, 0.00, 14
7881, 0.00, 14
7891, 0.00, 14
7901, 0.00, 14
7911, 0.00, 14
7921, 0.00, 14
7931, 0.00, 14
7941, 0.00, 14
7951, 0.00, 14
7961, 0.00, 14
7971, 0.00, 14
7981, 0.00, 14
7991, 0.00, 14
8001, 0.00, 14
8011, 0.00, 14
8022, 0.00, 14
8032, 0.00, 14
8042, 0.00, 14
8052, 0.00, 14
8062, 0.00, 14
8072, 0.00, 14
8082, 0.00, 14
8092, 0.00, 14
8102, 0.00, 14
8112, 0.00, 14
8122, 0.00, 14
8132, 0.00, 14
8142, 0.00, 14
8152, 0.00, 14
8162, 0.00, 14
8172, 0.00, 14
8182, 0.00, 14
8192, 0.00, 14
8202, 0.00, 14
8212, 0.00, 14
8222, 0.00, 14
8232, 0.00, 14
8242, 0.00, 14
8252, 0.00, 14
8262, 0.00, 14
8272, 0.00, 14
8282, 0.00, 14
8292, 0.00, 14
8302, 0.00, 14
8312, 0.00, 14
8322, 0.00, 14
8332, 0.00, 14
8342, 0.00, 14
8352, 0.00, 14
8363, 0.00, 14
8373, 0.00, 14
8383, 0.00, 14
8393, 0.00, 14
8403, 0.00, 14
8413, 0.00, 14
8423, 0.00, 14
8433, 0.00, 14
8443, 0.00, 14
8453, 0.00, 14
8463, 0.00, 14
8473, 0.00, 14
8483, 0.00, 14
8493, 0.00, 14
8503, 0.00, 14
8513, 0.00, 14
8523, 0.00, 14
8534, 0.00, 14
8544, 0.00, 14
8554, 0.00, 14
8564, 0.00, 14
8574, 0.00, 14
8584, 0.00, 14
8594, 0.00, 14
8604, 0.00, 14
8614, 0.00, 14
8624, 0.00, 14
8634, 0.00, 14
8644, 0.00, 14
8654, 0.00, 14
8664, 0.00, 14
8674, 0.00, 14
8684, 0.00, 14
8694, 0.00, 14
8704, 0.00, 14
8714, 0.00, 14
8724, 0.00, 14
8734, 0.00, 14
8744, 0.00, 14
8754, 0.00, 14
8764, 0.00, 14
8774, 0.00, 14
8784, 0.00, 14
8794, 0.00, 14
8804, 0.00, 14
8814, 0.00, 14
8824, 0.00, 14
8834, 0.00, 14
8844, 0.00, 14
8854, 0.00, 14
8864, 0.00, 14
8875, 0.00, 14
8885, 0.00, 14
8895, 0.00, 14
8905, 0.00, 14
8915, 0.00, 14
8925, 0.00, 14
8935, 0.00, 14
8945, 0.00, 14
8955, 0.00, 14
8965, 0.00, 14
8975, 0.00, 14
8985, 0.00, 14
8995, 0.00, 14
9005, 0.00, 14
9015, 0.00, 14
9025, 0.00, 14
9035, 0.00, 14
9046, 0.00, 14
9056, 0.00, 14
9066, 0.00, 14
9076, 0.00, 14
9086, 0.00, 14
9096, 0.00, 14
9106, 0.00, 14
9116, 0.00, 14
9126, 0.00, 14
9136, 0.00, 14
9146, 0.00, 14
9156, 0.00, 14
9166, 0.00, 14
9176, 0.00, 14
9186, 0.00, 14
9196, 0.00, 14
9206, 0.00, 14
9216, 0.00, 14
9226, 0.00, 14
9236, 0.00, 14
9246, 0.00, 14
9256, 0.00, 14
9266, 0.00, 14
9276, 0.00, 14
9286, 0.00, 14
9296, 0.00, 14
9306, 0.00, 14
9316, 0.00, 14
9326, 0.00, 14
9336, 0.00, 14
9346, 0.00, 14
9356, 0.00, 14
9366, 0.00, 14
9376, 0.00, 14
9387, 0.00, 14
9397, 0.00, 14
9407, 0.00, 14
9417, 0.00, 14
9427, 0.00, 14
9437, 0.00, 14
9447, 0.00, 14
9457, 0.00, 14
9467, 0.00, 14
9477, 0.00, 14
9487, 0.00, 14
9497, 0.00, 14
9507, 0.00, 14
9517, 0.00, 14
9527, 0.00, 14
9537, 0.00, 14
9547, 0.00, 14
9558, 0.00, 14
9568, 0.00, 14
9578, 0.00, 14
9588, 0.00, 14
9598, 0.00, 14
9608, 0.00, 14
9618, 0.00, 14
9628, 0.00, 14
9638, 0.00, 14
9648, 0.00, 14
9658, 0.00, 14
9668, 0.00, 14
9678, 0.00, 14
9688, 0.00, 14
9698, 0.00, 14
9708, 0.00, 14
9718, 0.00, 14
9728, 0.00, 14
9738, 0.00, 14
9748, 0.00, 14
9758, 0.00, 14
9768, 0.00, 14
9778, 0.00, 14
9788, 0.00, 14
9798, 0.00, 14
9808, 0.00, 14
9818, 0.00, 14
9828, 0.00, 14
9838, 0.00, 14
9848, 0.00, 14
9858, 0.00, 14
9868, 0.00, 14
9878, 0.00, 14
9888, 0.00, 14
9899, 0.00, 14
9909, 0.00, 14
9919, 0.00, 14
9929, 0.00, 14
9939, 0.00, 14
9949, 0.00, 14
9959, 0.00, 14
9969, 0.00, 14
9979, 0.00, 14
9989, 0.00, 14
9999, 0.00, 14